交易日期,证券代码,利率,期限
20190326,SHIBOR2W.IR,2.901,2W
20190326,SHIBOR3M.IR,2.828,3M
20190326,SHIBOR6M.IR,2.859,6M
20190326,SHIBOR9M.IR,2.95,9M
20190326,SHIBORON.IR,2.495,O/N
20190327,SHIBOR1M.IR,2.843,1M
20190327,SHIBOR1W.IR,2.797,1W
20190327,SHIBOR1Y.IR,3.074,1Y
20190327,SHIBOR2W.IR,2.932,2W
20190327,SHIBOR3M.IR,2.819,3M
20190327,SHIBOR6M.IR,2.857,6M
20190327,SHIBOR9M.IR,2.94,9M
20190327,SHIBORON.IR,2.286,O/N
20190328,SHIBOR1M.IR,2.825,1M
20190328,SHIBOR1W.IR,2.705,1W
20190328,SHIBOR1Y.IR,3.062,1Y
20190328,SHIBOR2W.IR,2.923,2W
20190328,SHIBOR3M.IR,2.807,3M
20190328,SHIBOR6M.IR,2.848,6M
20190328,SHIBOR9M.IR,2.931,9M
20190328,SHIBORON.IR,2.041,O/N
20190329,SHIBOR1M.IR,2.819,1M
20190329,SHIBOR1W.IR,2.698,1W
20190329,SHIBOR1Y.IR,3.051,1Y
20190329,SHIBOR2W.IR,2.911,2W
20190329,SHIBOR3M.IR,2.801,3M
20190329,SHIBOR6M.IR,2.841,6M
20190329,SHIBOR9M.IR,2.924,9M
20190329,SHIBORON.IR,2.486,O/N
20190401,SHIBOR1M.IR,2.782,1M
20190401,SHIBOR1W.IR,2.579,1W
20190401,SHIBOR1Y.IR,3.047,1Y
20190401,SHIBOR2W.IR,2.713,2W
20190401,SHIBOR3M.IR,2.795,3M
20190401,SHIBOR6M.IR,2.835,6M
20190401,SHIBOR9M.IR,2.917,9M
20190401,SHIBORON.IR,2.315,O/N
20190402,SHIBOR1M.IR,2.745,1M
20190402,SHIBOR1W.IR,2.453,1W
20190402,SHIBOR1Y.IR,3.042,1Y
20190402,SHIBOR2W.IR,2.527,2W
20190402,SHIBOR3M.IR,2.786,3M
20190402,SHIBOR6M.IR,2.825,6M
20190402,SHIBOR9M.IR,2.913,9M
20190402,SHIBORON.IR,1.956,O/N
20190403,SHIBOR1M.IR,2.697,1M
20190403,SHIBOR1W.IR,2.357,1W
20190403,SHIBOR1Y.IR,3.044,1Y
20190403,SHIBOR2W.IR,2.403,2W
20190403,SHIBOR3M.IR,2.767,3M
20190403,SHIBOR6M.IR,2.818,6M
20190403,SHIBOR9M.IR,2.909,9M
20190403,SHIBORON.IR,1.663,O/N
20190404,SHIBOR1M.IR,2.664,1M
20190404,SHIBOR1W.IR,2.418,1W
20190404,SHIBOR1Y.IR,3.047,1Y
20190404,SHIBOR2W.IR,2.376,2W
20190404,SHIBOR3M.IR,2.758,3M
20190404,SHIBOR6M.IR,2.815,6M
20190404,SHIBOR9M.IR,2.906,9M
20190404,SHIBORON.IR,1.417,O/N
20190408,SHIBOR1M.IR,2.65,1M
20190408,SHIBOR1W.IR,2.483,1W
20190408,SHIBOR1Y.IR,3.047,1Y
20190408,SHIBOR2W.IR,2.378,2W
20190408,SHIBOR3M.IR,2.754,3M
20190408,SHIBOR6M.IR,2.816,6M
20190408,SHIBOR9M.IR,2.906,9M
20190408,SHIBORON.IR,1.428,O/N
20190409,SHIBOR1M.IR,2.646,1M
20190409,SHIBOR1W.IR,2.469,1W
20190409,SHIBOR1Y.IR,3.047,1Y
20190409,SHIBOR2W.IR,2.45,2W
