交易日期,曲线名称,交易期限,到期收益率
20240527,中债国债收益率曲线,1.0,1.6612
20240527,中债国债收益率曲线,10.0,2.3084
20240524,中债国债收益率曲线,1.0,1.6375
20240524,中债国债收益率曲线,10.0,2.3134
20240523,中债国债收益率曲线,1.0,1.6085
20240523,中债国债收益率曲线,10.0,2.3063
20240522,中债国债收益率曲线,1.0,1.6052
20240522,中债国债收益率曲线,10.0,2.3123
20240521,中债国债收益率曲线,1.0,1.6129
20240521,中债国债收益率曲线,10.0,2.3141
20240520,中债国债收益率曲线,1.0,1.6136
20240520,中债国债收益率曲线,10.0,2.3105
20240517,中债国债收益率曲线,1.0,1.6073
20240517,中债国债收益率曲线,10.0,2.3077
20240516,中债国债收益率曲线,1.0,1.6280
20240516,中债国债收益率曲线,10.0,2.3147
20240515,中债国债收益率曲线,1.0,1.6134
20240515,中债国债收益率曲线,10.0,2.3020
20240514,中债国债收益率曲线,1.0,1.6132
20240514,中债国债收益率曲线,10.0,2.2938
20240513,中债国债收益率曲线,1.0,1.6417
20240513,中债国债收益率曲线,10.0,2.2900
20240511,中债国债收益率曲线,1.0,1.7092
20240511,中债国债收益率曲线,10.0,2.3361
20240510,中债国债收益率曲线,1.0,1.7044
20240510,中债国债收益率曲线,10.0,2.3122
20240509,中债国债收益率曲线,1.0,1.7205
20240509,中债国债收益率曲线,10.0,2.3186
20240508,中债国债收益率曲线,1.0,1.7071
20240508,中债国债收益率曲线,10.0,2.2955
20240507,中债国债收益率曲线,1.0,1.7028
20240507,中债国债收益率曲线,10.0,2.2896
20240506,中债国债收益率曲线,1.0,1.7022
20240506,中债国债收益率曲线,10.0,2.3081
20240430,中债国债收益率曲线,1.0,1.6928
20240430,中债国债收益率曲线,10.0,2.3028
20240429,中债国债收益率曲线,1.0,1.7831
20240429,中债国债收益率曲线,10.0,2.3530
20240428,中债国债收益率曲线,1.0,1.6932
20240428,中债国债收益率曲线,10.0,2.3244
20240426,中债国债收益率曲线,1.0,1.6646
20240426,中债国债收益率曲线,10.0,2.3084
20240425,中债国债收益率曲线,1.0,1.6046
